Date,Open,High,Low,Close,Adj Close,Volume
2023-04-11,4.903000,4.910000,4.860000,4.880000,4.880000,0
2023-04-12,4.878000,4.893000,4.650000,4.860000,4.860000,0
2023-04-13,4.838000,4.858000,4.820000,4.855000,4.855000,0
2023-04-14,4.845000,4.903000,4.810000,4.903000,4.903000,0
2023-04-16,null,null,null,null,null,null
2023-04-17,4.893000,4.993000,4.890000,4.923000,4.923000,0
2023-04-18,5.020000,5.040000,5.005000,5.030000,5.030000,0
2023-04-19,5.035000,5.038000,4.985000,4.995000,4.995000,0
2023-04-20,4.960000,4.965000,4.903000,4.945000,4.945000,0
2023-04-21,4.940000,4.958000,4.893000,4.950000,4.950000,0
2023-04-23,null,null,null,null,null,null
2023-04-24,4.945000,4.985000,4.843000,4.873000,4.873000,0
2023-04-25,4.990000,5.005000,4.930000,4.953000,4.953000,0
2023-04-26,4.968000,5.000000,4.900000,4.985000,4.985000,0
2023-04-27,4.973000,5.045000,4.970000,5.000000,5.000000,0
2023-04-28,4.983000,4.998000,4.923000,4.923000,4.923000,0
2023-04-30,null,null,null,null,null,null
2023-05-01,4.928000,4.950000,4.860000,4.865000,4.865000,0
2023-05-02,5.068000,5.088000,5.015000,5.040000,5.040000,0
2023-05-03,5.073000,5.095000,4.900000,5.095000,5.095000,0
2023-05-04,5.048000,5.140000,5.008000,5.055000,5.055000,0
2023-05-05,5.055000,5.118000,5.028000,5.080000,5.080000,0
2023-05-07,null,null,null,null,null,null
2023-05-08,5.090000,5.090000,5.063000,5.083000,5.083000,0
2023-05-09,5.105000,5.130000,5.040000,5.123000,5.123000,0
2023-05-10,5.118000,5.118000,5.058000,5.065000,5.065000,0
2023-05-11,5.058000,5.058000,4.998000,5.015000,5.015000,0
2023-05-12,5.005000,5.033000,4.995000,5.028000,5.028000,0
2023-05-14,null,null,null,null,null,null
2023-05-15,5.035000,5.038000,4.990000,5.000000,5.000000,0
2023-05-16,5.038000,5.058000,5.015000,5.058000,5.058000,0
2023-05-17,5.055000,5.100000,4.900000,5.088000,5.088000,0
2023-05-18,5.078000,5.125000,5.043000,5.125000,5.125000,0
2023-05-19,5.060000,5.120000,5.060000,5.085000,5.085000,0
2023-05-21,null,null,null,null,null,null
2023-05-22,5.098000,5.120000,5.063000,5.095000,5.095000,0
2023-05-23,5.205000,5.220000,5.150000,5.153000,5.153000,0
2023-05-24,5.150000,5.198000,5.000000,5.185000,5.185000,0
2023-05-25,5.183000,5.210000,5.158000,5.163000,5.163000,0
